#insert_number found notfound insert
1457675 543.534 543.715 1444.31
1462650 547.669 547.838 1434.49
1467625 552.391 552.556 1576.24
1472600 557.246 557.382 1606.97
1477575 561.826 561.966 1649.55
1482550 566.481 566.617 1381.8
1487525 570.934 571.074 1598.83
1492500 575.309 575.463 1382.6
1497475 579.189 579.344 1285.11
1502450 582.605 582.79 1176.03
1507425 585.781 585.946 1320.26
1512400 589.799 589.977 1503.95
1517375 594.004 594.186 1336.97
1522350 599.272 599.462 1548.21
1527325 603.583 603.773 1393.48
1532300 607.964 608.142 1472.86
1537275 612.077 612.229 1435.21
1542250 616.984 617.105 1603.61
1547225 621.941 622.08 1465.86
1552200 626.939 627.065 1641.24
1557175 631.561 631.678 1503.95
1562150 635.953 636.05 1502.16
1567125 639.532 639.629 1291.83
1572100 642.731 642.848 1310.31
1577075 646.575 646.692 1348.07
1582050 650.337 650.495 1388.54
1587025 654.698 654.854 1500.03
1592000 659.025 659.169 1584.3
1596975 663.24 663.424 1664.14
1601950 667.733 667.906 1363.17
1606925 672.418 672.567 1625.26
1611900 677.299 677.43 1404.41
1616875 682.162 682.281 1599.04
1621850 685.789 685.871 1351.76
1626825 689.982 690.067 1489.47
1631800 694.107 694.231 1537.94
1636775 698.392 698.521 1594.61
1641750 702.621 702.761 1373.05
1646725 706.908 707.026 1693.11
1651700 711.107 711.252 1592.54
1656675 715.478 715.598 1721.38
1661650 719.87 720.031 1448.73
1666625 723.427 723.606 1448.26
1671600 727.207 727.383 1496.99
1676575 731.229 731.392 1623.13
1681550 735.582 735.753 1747.02
1686525 739.932 740.102 1574.58
1691500 744.162 744.369 1555.05
1696475 747.939 748.099 1635.65
1701450 752.225 752.404 1437.94
1706425 756.237 756.41 1412.75
1711400 759.721 759.871 1450.65
1716375 763.86 764.032 1549.25
1721350 767.974 768.143 1582.2
1726325 772.817 773.005 1699.03
1731300 778.031 778.224 1800.88
1736275 781.627 781.823 1564.44
1741250 785.929 786.12 1689.73
1746225 790.497 790.686 1939.05
1751200 794.977 795.187 1917.78
1756175 800.892 801.111 1743.78
1761150 806.668 806.876 2340.44
1766125 812.204 812.427 1607.2
1771100 817.126 817.363 1539.27
1776075 821.655 821.84 1682.02
1781050 825.747 825.937 1584.47
1786025 830.306 830.516 1683.83
1791000 834.982 835.171 1770.32
1795975 840.243 840.42 1928.83
1800950 845.605 845.779 1948.35
1805925 850.52 850.679 1661.8
1810900 854.583 854.754 1806.85
1815875 860.026 860.186 1949.9
1820850 864.115 864.288 1556.96
1825825 868.712 868.881 1800.01
1830800 873.729 873.893 1966.74
1835775 879.265 879.427 2508.47
1840750 885.612 885.762 2308.6
1845725 891.163 891.348 1690.23
1850700 895.929 896.132 1860.28
1855675 901.31 901.535 2400.48
1860650 905.48 905.701 1632.04
1865625 910.206 910.433 1765.09
1870600 914.991 915.216 1822.25
1875575 919.304 919.566 1739.58
1880550 923.158 923.399 1696.31
1885525 927.69 927.955 1809.1
1890500 933.047 933.289 1801.89
1895475 937.737 937.972 1662.29
1900450 942.033 942.259 1724.54
1905425 946.181 946.398 1675.62
1910400 950.774 951.048 1955.87
1915375 955.324 955.571 1730.8
1920350 959.687 959.893 1924.64
1925325 963.973 964.195 1669.69
1930300 967.685 967.888 1627.94
1935275 971.212 971.407 1941.09
1940250 975.501 975.694 1803.78
1945225 979.519 979.712 1911.94
1950200 983.173 983.399 1640.38
1955175 987.17 987.372 1747.26
1960150 991.481 991.66 1849.17
1965125 995.591 995.794 1715.95
1970100 999.746 1000.01 1807.07
1975075 1003.42 1003.69 1659.18
1980050 1007.64 1007.89 1838.5
1985025 1011.92 1012.15 1874.77
